c-ip,Organization
100.42.128.102,"WC-41 (Wagner College)"
100.42.128.112,"WC-41 (Wagner College)"
100.43.51.194,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.52.152,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.52.156,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.52.175,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.52.51,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.126,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.141,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.142,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.144,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.15,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.151,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.162,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.164,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.166,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.180,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.22,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.25,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.3,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.35,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.36,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.39,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
100.43.53.41,"TTUHSCAEP (Texas Tech University Health Sciences Center at El Paso)"
104.150.17.143,"SMU-3 (Southern Methodist University)"
104.150.9.89,"SMU-3 (Southern Methodist University)"
104.193.217.228,"CHLA-1 (Children's Hospital Los Angeles)"
104.194.103.182,"IIT-2 (Illinois Institute of Technology)"
104.194.103.69,"IIT-2 (Illinois Institute of Technology)"
104.194.112.82,"IIT-2 (Illinois Institute of Technology)"
104.194.117.147,"IIT-2 (Illinois Institute of Technology)"
104.194.118.252,"IIT-2 (Illinois Institute of Technology)"
104.194.124.192,"IIT-2 (Illinois Institute of Technology)"
104.201.144.121,"WCU-1 (West Chester University)"
104.201.177.206,"WCU-1 (West Chester University)"
104.201.190.167,"WCU-1 (West Chester University)"
104.201.190.45,"WCU-1 (West Chester University)"
104.201.198.95,"WCU-1 (West Chester University)"
104.245.151.78,"SU-12 (Samford University)"
104.38.10.58,"PSU-2 (The Pennsylvania State University)"
104.38.104.232,"PSU-2 (The Pennsylvania State University)"
104.38.112.218,"PSU-2 (The Pennsylvania State University)"
104.38.126.78,"PSU-2 (The Pennsylvania State University)"
104.38.28.173,"PSU-2 (The Pennsylvania State University)"
104.38.40.84,"PSU-2 (The Pennsylvania State University)"
104.38.87.173,"PSU-2 (The Pennsylvania State University)"
104.39.111.81,"PSU-2 (The Pennsylvania State University)"
104.39.118.138,"PSU-2 (The Pennsylvania State University)"
104.39.16.51,"PSU-2 (The Pennsylvania State University)"
104.39.16.82,"PSU-2 (The Pennsylvania State University)"
104.39.17.82,"PSU-2 (The Pennsylvania State University)"
104.39.18.26,"PSU-2 (The Pennsylvania State University)"
104.39.21.196,"PSU-2 (The Pennsylvania State University)"
104.39.21.243,"PSU-2 (The Pennsylvania State University)"
104.39.23.123,"PSU-2 (The Pennsylvania State University)"
104.39.23.217,"PSU-2 (The Pennsylvania State University)"
104.39.44.16,"PSU-2 (The Pennsylvania State University)"
104.39.44.225,"PSU-2 (The Pennsylvania State University)"
104.39.44.41,"PSU-2 (The Pennsylvania State University)"
104.39.44.58,"PSU-2 (The Pennsylvania State University)"
104.39.44.64,"PSU-2 (The Pennsylvania State University)"
104.39.44.77,"PSU-2 (The Pennsylvania State University)"
104.39.45.2,"PSU-2 (The Pennsylvania State University)"
104.39.45.205,"PSU-2 (The Pennsylvania State University)"
104.39.45.39,"PSU-2 (The Pennsylvania State University)"
104.39.45.54,"PSU-2 (The Pennsylvania State University)"
104.39.45.7,"PSU-2 (The Pennsylvania State University)"
104.39.46.193,"PSU-2 (The Pennsylvania State University)"
104.39.46.81,"PSU-2 (The Pennsylvania State University)"
104.39.47.101,"PSU-2 (The Pennsylvania State University)"
104.39.47.250,"PSU-2 (The Pennsylvania State University)"
104.39.48.50,"PSU-2 (The Pennsylvania State University)"
104.39.49.119,"PSU-2 (The Pennsylvania State University)"
104.39.53.151,"PSU-2 (The Pennsylvania State University)"
104.39.54.207,"PSU-2 (The Pennsylvania State University)"
104.39.54.75,"PSU-2 (The Pennsylvania State University)"
104.39.55.11,"PSU-2 (The Pennsylvania State University)"
104.39.6.172,"PSU-2 (The Pennsylvania State University)"
104.39.68.95,"PSU-2 (The Pennsylvania State University)"
104.39.70.133,"PSU-2 (The Pennsylvania State University)"
104.39.71.216,"PSU-2 (The Pennsylvania State University)"
104.39.71.4,"PSU-2 (The Pennsylvania State University)"
104.39.72.112,"PSU-2 (The Pennsylvania State University)"
104.39.72.46,"PSU-2 (The Pennsylvania State University)"
104.39.73.14,"PSU-2 (The Pennsylvania State University)"
104.39.73.181,"PSU-2 (The Pennsylvania State University)"
104.39.73.212,"PSU-2 (The Pennsylvania State University)"
104.39.75.121,"PSU-2 (The Pennsylvania State University)"
104.39.76.100,"PSU-2 (The Pennsylvania State University)"
104.39.76.159,"PSU-2 (The Pennsylvania State University)"
104.39.78.175,"PSU-2 (The Pennsylvania State University)"
104.39.78.182,"PSU-2 (The Pennsylvania State University)"
104.39.79.149,"PSU-2 (The Pennsylvania State University)"
104.39.80.202,"PSU-2 (The Pennsylvania State University)"
104.39.81.16,"PSU-2 (The Pennsylvania State University)"
104.39.82.181,"PSU-2 (The Pennsylvania State University)"
104.39.83.161,"PSU-2 (The Pennsylvania State University)"
104.39.83.67,"PSU-2 (The Pennsylvania State University)"
104.39.90.231,"PSU-2 (The Pennsylvania State University)"
104.39.91.122,"PSU-2 (The Pennsylvania State University)"
107.191.80.5,"SFU-11 (Saint Francis University)"
108.174.128.70,"MIAHS-1 (The Michener Institute for Applied Health Sciences)"
108.179.128.182,"UWND (University of Washington)"
108.179.128.78,"UWND (University of Washington)"
108.179.132.159,"UWND (University of Washington)"
108.179.132.170,"UWND (University of Washington)"
108.179.133.79,"UWND (University of Washington)"
108.179.134.108,"UWND (University of Washington)"
108.179.134.132,"UWND (University of Washington)"
108.179.144.234,"UWND (University of Washington)"
108.179.145.115,"UWND (University of Washington)"
108.179.145.190,"UWND (University of Washington)"
108.179.148.58,"UWND (University of Washington)"
108.179.149.111,"UWND (University of Washington)"
108.179.149.232,"UWND (University of Washington)"
108.179.157.194,"UWND (University of Washington)"
108.179.160.116,"UWND (University of Washington)"
108.179.160.78,"UWND (University of Washington)"
108.179.161.105,"UWND (University of Washington)"
108.179.161.117,"UWND (University of Washington)"
108.179.161.93,"UWND (University of Washington)"
108.179.162.130,"UWND (University of Washington)"
108.179.163.100,"UWND (University of Washington)"
108.179.163.143,"UWND (University of Washington)"
108.179.163.234,"UWND (University of Washington)"
108.179.163.42,"UWND (University of Washington)"
108.179.163.60,"UWND (University of Washington)"
108.179.168.130,"UWND (University of Washington)"
108.179.168.199,"UWND (University of Washington)"
108.179.169.220,"UWND (University of Washington)"
108.179.169.98,"UWND (University of Washington)"
108.179.170.19,"UWND (University of Washington)"
108.179.170.251,"UWND (University of Washington)"
108.179.176.29,"UWND (University of Washington)"
108.179.179.93,"UWND (University of Washington)"
108.179.180.216,"UWND (University of Washington)"
108.179.182.199,"UWND (University of Washington)"
108.179.182.48,"UWND (University of Washington)"
108.179.183.249,"UWND (University of Washington)"
108.179.187.156,"UWND (University of Washington)"
108.179.188.100,"UWND (University of Washington)"
108.179.190.188,"UWND (University of Washington)"
12.110.165.98,"VMLL-1 (VITRO MOLECULAR LABORATORIES L)"
12.13.176.132,"SPELMA (Spelman College)"
12.131.230.26,"CATAL-26 (CATALYST BIOSCIENCES, INC.)"
12.131.93.13,"SMCA-7 (STILLWATER MEDICAL CENTER AUT)"
12.132.22.5,"HUNTS-2 (HUNTSVILLE MEMORIAL HOSPITAL)"
12.132.23.230,"CYBER-105 (CYBERONICS, INC)"
12.133.6.2,"SMHA (SOUTHEAST MISSOURI HOSPITAL ASSOCIATION)"
12.144.110.131,"HOSPI-9 (HOSPIRA INC.)"
12.149.137.10,"ACCBI-14 (ACC-BIOPHARMX INC)"
12.16.224.242,"AB-177 (ACC-ARMO BIOSCIENCES)"
12.23.163.230,"BPC-63 (BIOTEST PHARMACEUTICALS CORPORAT)"
12.25.213.10,"CHINE-2 (CHINESE HOSPITAL)"
12.26.120.34,"CH-349 (CLEVELAND HEARTLABS INC)"
12.27.71.34,"LT-79 (LIFE TECHNOLOGIES)"
12.28.229.234,"HP-249 (HORIZON PHARMA, INC)"
12.29.172.132,"PG-142 (PROTEINTECH GROUP INC)"
12.31.204.130,"SSMC-11 (SUNSET STRIP MEDICAL CENTER INC)"
12.33.240.66,"AB-710 (ASSEMBLY BIOSCIENCES)"
12.34.235.244,"CC-1867 (CERILLIANT CORPORATION)"
