CustomerNumber,Name,Name2,City,Region,PostalCode,Street,Address,CustomerClass
0000001001,"Connie Curlee",,Montgomery,TX,77356,,0000022777,
0000001002,"Liz Wilson",,Montgomery,TX,77356,,0000022778,
0000001003,"Virginia Mathis",,Montgomery,TX,77356,,0000022779,
0000001004,"Genevieve Allen",,Montgomery,TX,77356,,0000022780,
0000001005,"Valerie Florack",,Montgomery,TX,77356,,0000022781,
0000001006,"Sonny Ritch",,Montgomery,,77356,,0000022782,
0000001007,"Stuart Traylor",,Montgomery,TX,77356,,0000022783,
0000001008,"Eric McIntush",,Montgomery,TX,77356,,0000022784,
0000001009,"Becky Steinhauer",,Montgomery,TX,77356,,0000022785,
0000001010,"Jill Turner",,Montgomery,TX,77356,,0000022786,
0000001011,"Laura Avery",,Montgomery,TX,77356,,0000022787,
0000001012,"Christy Lamb",,Montgomery,TX,77356,,0000022788,
0000001013,"Sharon Bonnette",,Montgomery,TX,77356,,0000022789,
0000001014,"Susan Burzynski",,Montgomery,TX,77356,,0000022790,
0000001015,"Debbie Garrett",,Montgomery,TX,77356,,0000022791,
0000001016,"Gina Hollie",,Montgomery,TX,77356,,0000022792,
0000001017,"Tracy McCarty",,Montgomery,TX,77356,,0000022793,
0000001018,"Latrisha Miller",,Montgomery,TX,77356,,0000022794,
0000001019,"Delma Talley",,Montgomery,TX,77356,,0000022795,
0000001020,"Bevin Fuller",,Montgomery,TX,77356,,0000022796,
0000001021,"AALTO BIO REAGENTS LTD",,"DUBLIN 14",,,"CHURCH LN",0000022797,02
0000001022,"AARON DIAMOND AIDS RESEARCH CENTER",,"NEW YORK",NY,10016,"455 FIRST AVE",0000022798,01
0000001023,"ABBVIE INC","***REDWOOD CITY, CA LOCATIONS ONLY*","NORTH CHICAGO",IL,60064-3500,,0000022799,07
0000001024,"ABBOTT BIORESEARCH CENTER",,"ABBOTT PARK",IL,60064,,0000022800,07
0000001025,"ABCAM PLC",,CAMBRIDGE,,CB4-0FL,"330 CAMBRIDGE SCIENCE PARK",0000022801,06
0000001026,"ABRAXIS BIOSCIENCE LLC",,"SALT LAKE CITY",UT,84129,,0000022802,07
0000001027,"AC BIOSYSTEMS LLC",,MANCHESTER,NH,03103,"7 PERIMETER RD",0000022803,02
